Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data
2025-11-17 18:01:37.028,EC:69:0B:19:32:8E,65,-78,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C7 1C 00 00 0A 00 26 01 20 0F 2A 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:38.039,EC:69:0B:19:32:8E,66,-74,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C8 1C 00 00 0A 00 26 01 2D 0F 0E 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:39.036,EC:69:0B:19:32:8E,67,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C9 1C 00 00 0A 00 26 01 D5 0E 76 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:40.037,EC:69:0B:19:32:8E,68,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF CA 1C 00 00 0A 00 26 01 54 0F 3C 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:43.043,EC:69:0B:19:32:8E,69,-68,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF CD 1C 00 00 0A 00 26 01 39 0E 0E 02 00 00 00 00 00 00 00 00"
2025-11-17 18:01:44.052,EC:69:0B:19:32:8E,70,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF CE 1C 00 00 0A 00 26 01 B2 0E E9 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:45.069,EC:69:0B:19:32:8E,71,-72,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF CF 1C 00 00 0A 00 26 01 75 0A 44 04 00 00 00 00 00 00 00 00"
2025-11-17 18:01:46.071,EC:69:0B:19:32:8E,72,-75,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF D0 1C 00 00 0A 00 26 01 FE 0A DB 03 00 00 00 00 00 00 00 00"
2025-11-17 18:01:49.081,EC:69:0B:19:32:8E,73,-81,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF D3 1C 00 00 0A 00 26 01 09 06 E7 02 00 00 00 00 00 00 00 00"
2025-11-17 18:01:50.088,EC:69:0B:19:32:8E,74,-86,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF D4 1C 00 00 0A 00 26 01 B6 0C B1 03 00 00 00 00 00 00 00 00"
2025-11-17 18:01:53.101,EC:69:0B:19:32:8E,75,-87,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF D7 1C 00 00 0A 00 26 01 25 09 A9 04 00 00 00 00 00 00 00 00"
2025-11-17 18:01:55.102,EC:69:0B:19:32:8E,76,-76,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF D9 1C 00 00 0A 00 24 01 49 0F 2F 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:56.120,EC:69:0B:19:32:8E,77,-79,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF DA 1C 00 00 0A 00 25 01 1C 0F 2F 00 00 00 00 00 00 00 00 00"
2025-11-17 18:02:00.131,EC:69:0B:19:32:8E,78,-72,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF DE 1C 00 00 0A 00 04 01 F9 0E AC 00 00 00 00 00 00 00 00 00"
2025-11-17 18:02:01.136,EC:69:0B:19:32:8E,79,-77,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF E0 1C 00 00 0A 00 26 01 34 06 A4 03 00 00 00 00 00 00 00 00"
2025-11-17 18:02:02.153,EC:69:0B:19:32:8E,80,-71,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF E1 1C 00 00 0A 00 26 01 D0 0B D8 03 00 00 00 00 00 00 00 00"
